Datum,Meldung
2015-01-30,"Veranstaltung: The Terms of Media (Lüneburg, 17.-19.06.15)"
2015-01-30,Stellenausschreibung: Direktor Professur für  Digital Humanities an der Universität Graz
2015-01-30,Stellenausschreibung: Direktor/in des Internationalen Forschungszentrums Kulturwissenschaften in Wien
2015-01-30,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Fakultät Medien der Bauhaus-Universität Weimar
2015-01-30,"CFP: Medienkommunikation zwischen Komplexität und Vereinfachung: Konzepte, Methoden, Praxis (Berlin, 05.-07.11.15 // 07.06.15)"
2015-01-30,CFP: Princeton CITP Doctoral Workshop (01.02.15)
2015-01-30,"CFP: Theorieforum 2015 - Das umkämpfte Internet (Magdeburg, 03.-04.07.15 // 30.04.15)"
2015-01-30,"CFP: To boldly go where no man has gone before: The Fascination with the Unknown: Time (Berlin, 09.-11.07.15 // 01.03.15)"
2015-01-30,CFP: animafest scanner ii 2015 (10.-14.06.15 // 01.03.15)
2015-01-30,"Veranstaltung: Medienkunde als eigenes Schulfach - Neuland in Sicht? (Erfurt, 10.02.15)"
2015-02-05,"Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in am Graduiertenkolleg ""Automatismen - Kulturtechniken zur Reduzierung von Komplexität"""
2015-02-05,Stellenausschreibung: 8 Assistant/Associate Professors in Media Studies at Utrecht University
2015-02-05,CFP: Workarounds - Praktiken des Umwegs (23.03.15)
2015-02-05,"CFP: Klassische Positionen und Innovationen in der Filmsoziologie (Hamburg, 25.-27.06.15 // 15.03.15)"
2015-02-05,Stellenausschreibung: Postdoctoral Fellow at the Department of Media Studies at Stockholm University
2015-02-05,"GfM: Treuschwur und Realitätsverlust. Phasen und Dispositive auditiver Medienkultur (Lüneburg, 19.-20.02.15)"
2015-02-13,Stellenausschreibung: Acht Promotionsstipendien im Rahmen des Interdisziplinären Graduiertenkollegs Gender und Bildung
2015-02-13,Stellenausschreibung: Wissenschaftliche/r  Mitarbeiter/in am Seminar für Medienbildung der Europa-Universität Flensburg
2015-02-13,Stellenausschreibung: W2-Professur für Kommunikations- und Medienwissenschaft mit dem Schwerpunkt Kulturanalyse an der Universität Bremen
2015-02-13,"Veranstaltung: Audiovisuelles Kulturerbe. Archivierung, Nutzung, Vermittlung (Potsdam, 26.-27.03.15)"
2015-02-13,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Europa-Universität Flensburg
2015-02-13,"CFP: Zur Erfindungsgeschichte der Partizipation (Oldenburg, 17.-21.07.15 // 31.05.15)"
2015-02-13,"CFP: Spektakel als ästhetische Kategorie: Theorien und Praktiken (Weimar, 19.-21.11.15 // 15.03.15)"
2015-02-13,CFP: Documentary and Disability (31.03.15)
2015-02-13,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in am Fachbereich Kommunikation und Medien der Hochschule Magdeburg-Stendal
2015-02-13,"GfM: Medien - Wissen - Bildung: Medienbildung wozu? (Innsbruck, 27.-28.02.15)"
2015-02-13,GfM: Aufruf zur Einreichung Karsten-Witte-Preis (31.03.15)
2015-02-13,CFP: Poirot trifft Miss Marple: Agatha Christie Intermedial (15.03.15)
2015-02-13,Stellenausschreibung: Volontär/in für Lektorat (Schwerpunkt filmwissenschaftliche Titel) und Werbung/PR  bei etk
2015-02-13,Stellenausschreibung: Professur für Kommunikations- und Medienwissenschaft an der SRH Hochschule der populären Künste
2015-02-19,Stellenausschreibung: Referent/in für die Geschäftsstelle des Rates für Informationsinfrastrukturen an der Universität Göttingen
2015-02-19,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Leuphana Universität Lüneburg
2015-02-19,"Veranstaltung: Mediale Darstellungen von Arbeit seit 1960 (Essen, 02.-03.03.15)"
2015-02-19,"GfM: Call For Papers: Probleme der Corpusbildung. Workshop der AG Fotografieforschung (Braunschweig, 21.05.15 // 23.03.15)"
2015-02-19,Stellenausschreibung: Direktor/in des Internationalen Forschungszentrums Kulturwissenschaften in Wien
2015-02-27,Stellenausschreibung: W2-Professur für Medienökologie an der Universität Potsdam
2015-02-27,Stellenausschreibung: Senior Lecturer in Digital Culture at Royal Holloway University London
2015-02-27,CFP: Ephemeral Television (29.05.15)
2015-02-27,"CFP: Zuschauer(t)räume (Mannheim, 13.-15.11.15 // 01.03.15)"
2015-02-27,"CFP: Kosmopolitisierung, Anerkennung, Solidarisierung? Potentiale transkultureller Öffentlichkeiten in Medienkulturen (Tübingen, 25.-26.06.15 // 20.03.15)"
2015-02-27,"Veranstaltung: 28. Film- und Fernsehwissenschaftliche Kolloquium (Mannheim, 30.03.-01.04.2015)"
2015-02-27,"Veranstaltung: Spectacular Catastrophes, Catastrophic Spectacles (Erfurt, 04.-07.03.15)"
2015-02-27,"Veranstaltung: 17. Bild-Kunst Kameragespräche und Verleihung des 15. Marburger Kamerapreises 2015 an: Edward Lachman (Marburg, 05.-07.03.15)"
2015-03-19,"Veranstaltung: Media Spaces. Distributing Technology in Architecture (Graz, 28.03.15)"
2015-03-19,"CFP: Lebenswissen. Semantiken - Theorien - Praktiken (Berlin, 20.-25.09.15 // 30.04.15)"
2015-03-19,CFP: Computing the City (20.04.15)
